x1,x2,x3
9.3733,9.5147,9.7209
9.5147,9.7209,9.8165
9.7209,9.8165,9.9935
9.8165,9.9935,9.6769
9.9935,9.6769,9.6586
9.6769,9.6586,10.0314
9.6586,10.0314,9.8739
10.0314,9.8739,9.8017
9.8739,9.8017,9.9909
9.8017,9.9909,10.0986
9.9909,10.0986,10.0958
10.0986,10.0958,10.0986
10.0958,10.0986,10.0986
10.0986,10.0986,10.1013
10.0986,10.1013,10.1708
10.1013,10.1708,10.147
10.1708,10.147,10.0546
10.147,10.0546,10.0646
10.0546,10.0646,10.0143
10.0646,10.0143,9.9242
10.0143,9.9242,9.8901
9.9242,9.8901,10.3123
9.8901,10.3123,10.6132
10.3123,10.6132,10.7051
10.6132,10.7051,10.893
10.7051,10.893,10.8144
10.893,10.8144,10.8114
10.8144,10.8114,10.7135
10.8114,10.7135,10.5634
10.7135,10.5634,10.6028
10.5634,10.6028,10.6409
10.6028,10.6409,10.6419
10.6409,10.6419,10.7359
10.6419,10.7359,10.7993
10.7359,10.7993,10.697
10.7993,10.697,10.6382
10.697,10.6382,10.669
10.6382,10.669,10.6539
10.669,10.6539,10.2213
10.6539,10.2213,10.1672
10.2213,10.1672,10.2737
10.1672,10.2737,10.7288
10.2737,10.7288,10.8218
10.7288,10.8218,10.6092
10.8218,10.6092,10.4291
10.6092,10.4291,10.4631
10.4291,10.4631,10.3512
10.4631,10.3512,10.5547
10.3512,10.5547,10.4845
10.5547,10.4845,10.5134
10.4845,10.5134,10.6987
10.5134,10.6987,10.7717
10.6987,10.7717,11.0052
10.7717,11.0052,11.0421
11.0052,11.0421,11.0523
11.0421,11.0523,10.995
11.0523,10.995,10.7838
10.995,10.7838,10.8506
10.7838,10.8506,10.7472
10.8506,10.7472,10.1094
10.7472,10.1094,10.2973
10.1094,10.2973,10.288
10.2973,10.288,9.6522
10.288,9.6522,9.9687
9.6522,9.9687,9.6306
9.9687,9.6306,9.6393
9.6306,9.6393,9.5307
9.6393,9.5307,9.5945
9.5307,9.5945,9.3485
9.5945,9.3485,9.3263
9.3485,9.3263,9.6279
9.3263,9.6279,9.3062
9.6279,9.3062,9.1382
9.3062,9.1382,9.3126
9.1382,9.3126,9.2366
9.3126,9.2366,8.8027
9.2366,8.8027,8.8752
8.8027,8.8752,8.7366
8.8752,8.7366,8.9002
8.7366,8.9002,8.6538
8.9002,8.6538,8.8454
