x1,x2,x3
10.0655,10.089,10.4025
10.089,10.4025,10.648
10.4025,10.648,10.6668
10.648,10.6668,10.844
10.6668,10.844,10.8583
10.844,10.8583,10.7919
10.8583,10.7919,10.8841
10.7919,10.8841,10.8879
10.8841,10.8879,10.8009
10.8879,10.8009,10.8789
10.8009,10.8789,11.0368
10.8789,11.0368,11.0846
11.0368,11.0846,11.1418
11.0846,11.1418,11.1566
11.1418,11.1566,11.088
11.1566,11.088,11.1876
11.088,11.1876,11.1889
11.1876,11.1889,11.0923
11.1889,11.0923,11.14
11.0923,11.14,11.0653
11.14,11.0653,11.0708
11.0653,11.0708,11.1181
11.0708,11.1181,11.2989
11.1181,11.2989,11.342
11.2989,11.342,11.3881
11.342,11.3881,11.4592
11.3881,11.4592,11.3247
11.4592,11.3247,11.2879
11.3247,11.2879,11.486
11.2879,11.486,11.3894
11.486,11.3894,11.2225
11.3894,11.2225,11.3081
11.2225,11.3081,11.3195
11.3081,11.3195,11.3925
11.3195,11.3925,11.4832
11.3925,11.4832,11.5202
11.4832,11.5202,11.5295
11.5202,11.5295,11.5042
11.5295,11.5042,11.5293
11.5042,11.5293,11.3547
11.5293,11.3547,11.3411
11.3547,11.3411,11.4859
11.3411,11.4859,11.5577
11.4859,11.5577,11.6165
11.5577,11.6165,11.53
11.6165,11.53,11.508
11.53,11.508,11.4541
11.508,11.4541,11.1928
11.4541,11.1928,11.2073
11.1928,11.2073,11.2678
11.2073,11.2678,11.4442
11.2678,11.4442,11.6074
11.4442,11.6074,11.5692
11.6074,11.5692,11.6208
11.5692,11.6208,11.6068
11.6208,11.6068,11.6951
11.6068,11.6951,11.7128
11.6951,11.7128,11.7056
11.7128,11.7056,11.66
11.7056,11.66,11.646
11.66,11.646,11.5916
11.646,11.5916,11.3359
11.5916,11.3359,11.1846
11.3359,11.1846,11.177
11.1846,11.177,10.8222
11.177,10.8222,10.7621
10.8222,10.7621,10.4827
10.7621,10.4827,10.4306
10.4827,10.4306,10.4528
10.4306,10.4528,10.3212
10.4528,10.3212,10.195
10.3212,10.195,10.0998
10.195,10.0998,10.3202
10.0998,10.3202,10.0376
10.3202,10.0376,9.8235
10.0376,9.8235,10.0218
9.8235,10.0218,10.1214
10.0218,10.1214,9.9711
10.1214,9.9711,9.8802
9.9711,9.8802,9.8837
9.8802,9.8837,10.1193
9.8837,10.1193,10.1197
10.1193,10.1197,10.1432
10.1197,10.1432,9.9305
10.1432,9.9305,9.9396
9.9305,9.9396,9.9904
9.9396,9.9904,9.991
9.9904,9.991,9.9835
9.991,9.9835,9.9617
9.9835,9.9617,9.4166
9.9617,9.4166,9.4573
9.4166,9.4573,9.7143
9.4573,9.7143,9.8485
